from,to,kW_in_ph1,kVAr_in_ph1,kW_in_ph2,kVAr_in_ph2,kW_in_ph3,kVAr_in_ph3,kW_out_ph1,kVAr_out_ph1,kW_out_ph2,kVAr_out_ph2,kW_out_ph3,kVAr_out_ph3
60,632,1251.391,681.395,977.336,373.383,1348.476,669.598,1229.877,601.979,980.583,341.281,1307.035,588.414
632,633,162.872,115.099,121.57,92.848,121.802,92.965,162.518,114.578,121.422,92.586,121.497,92.721
632,645,,,334.303,127.935,79.672,138.006,,,331.757,125.772,79.451,137.778
632,671,1067.005,486.88,524.71,120.499,1105.561,357.443,1039.485,411.486,464.885,78.129,957.048,244.863
633,634,162.518,114.578,121.422,92.586,121.497,92.721,160.0,110.0,120.0,90.0,120.0,90.0
645,646,,,161.757,0.772,79.451,137.778,,,161.486,0.559,79.181,137.563
650,60,1251.391,681.395,977.336,373.383,1348.476,669.598,1251.391,681.395,977.336,373.383,1348.476,669.598
671,680,-0.001,-0.008,0.001,-0.009,-0.0,-0.007,0.0,0.0,0.0,-0.0,-0.0,0.0
671,684,124.584,83.465,,,166.319,-16.294,124.373,83.253,,,165.948,-16.552
671,692,531.058,121.295,68.345,-162.216,416.112,48.252,531.058,121.295,68.345,-162.216,416.112,48.252
684,611,,,,,165.948,-16.552,,,,,165.566,-16.938
684,652,124.373,83.253,,,,,123.564,83.019,,,,
692,675,488.217,-1.41,68.345,-162.216,290.573,21.397,485.0,-3.466,68.0,-162.735,290.0,21.479
